File Name, Source/Story,",Raw Sentence,",Components,Compound Word,Tag,Position,",Clean Context,",",Total No Of Compounds",,
balaramayanam_S.txt , Valmiki Ramayanam ,", <???-????????>T4, ", ???-???????? , ? , T4 ,1,", ???-????????, ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ??????? ???? <???-?????>Tg ????? ? <???-???????>T6 , ", ???-????? , ? , Tg ,14,", ??????? ???? ???-????? ????? ? ???-??????? , ",", 2, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ??????? ???? <???-?????>Tg ????? ? <???-???????>T6 , ", ???-??????? , ? , T6 ,36,", ??????? ???? ???-????? ????? ? ???-??????? , ",", 2, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ??????? <???-???>d ??? ????? <????-???????>K1 , ", ???-??? , ? , d ,9,", ??????? ???-??? ??? ????? ????-??????? , ",", 2, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ??????? <???-???>d ??? ????? <????-???????>K1 , ", ????-??????? , ? , K1 ,30,", ??????? ???-??? ??? ????? ????-??????? , ",", 2, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ?????? <?????-?????>K6 ????? <????????-???????>K6 , ", ?????-????? , ? , K6 ,8,", ?????? ?????-????? ????? ????????-??????? , ",", 2, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ?????? <?????-?????>K6 ????? <????????-???????>K6 , ", ????????-??????? , ? , K6 ,30,", ?????? ?????-????? ????? ????????-??????? , ",", 2, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ???????? ????? <?-?????????>BvS , ", ?-????????? , ? , BvS ,16,", ???????? ????? ?-????????? , ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ???????? <?????-??????-??-?????????>Di  , ", ?????-??????-??-????????? , ? , Di ,10,", ???????? ?????-??????-??-?????????  , ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ??? <????-???????>T6 ???? ????? ?????????, ", ????-??????? , ? , T6 ,5,", ??? ????-??????? ???? ????? ?????????, ",", 1, ",,
balaramayanam_S.txt , Valmiki Ramayanam ," ?????? ??????? <?????-??????>T6, ?????????, <????-??????>T6, <?????-????????>T6, <????-?????>T6, <????-????>T6, <??-????>T6, <??-?????>T6 <???-??????>T6, <?????-??????>T6, ??????? ????? ????????? ? ????, ", ?????-?????? , ? , T6 ,16,", ?????? ??????? ?????-??????, ?????????, ????-??????, ?????-????????, ????-?????, ????-????, ??-????, ??-????? ???-??????, ?????-??????, ??????? ????? ????????? ? ????, ",", 9, ",,
balaramayanam_S.txt , Valmiki Ramayanam ," ?????? ??????? <?????-??????>T6, ?????????, <????-??????>T6, <?????-????????>T6, <????-?????>T6, <????-????>T6, <??-????>T6, <??-?????>T6 <???-??????>T6, <?????-??????>T6, ??????? ????? ????????? ? ????, ", ????-?????? , ? , T6 ,45,", ?????? ??????? ?????-??????, ?????????, ????-??????, ?????-????????, ????-?????, ????-????, ??-????, ??-????? ???-??????, ?????-??????, ??????? ????? ????????? ? ????, ",", 9, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ?????? ??????? <?????-??????>T6, ?????????, <????-??????>T6, <?????-????????>T6, <????-?????>T6, <????-????>T6, <??-????>T6, <??-?????>T6 <???-??????>T6, <?????-??????>T6, ??????? ????? ????????? ? ????, ", ?????-???????? , ? , T6 ,62,", ?????? ??????? ?????-??????, ?????????, ????-??????, ?????-????????, ????-?????, ????-????, ??-????, ??-????? ???-??????, ?????-??????, ??????? ????? ????????? ? ????, ",", 9, ",,
balaramayanam_S.txt , Valmiki Ramayanam ,", ?????? ??????? <?????-??????>T6, ?????????, <????-??????>T6, <?????-????????>T6, <????-?????>T6, <????-????>T6, <??-????>T6, <??-?????>T6 <???-??????>T6, <?????-??????>T6, ??????? ????? ????????? ? ????, ", ????-????? , ? , T6 ,82,", ?????? ??????? ?????-??????, ?????????, ????-??????, ?????-????????, ????-?????, ????-????, ??-????, ??-????? ???-??????, ?????-??????, ??????? ????? ????????? ? ????, ",", 9, ",,
