Frequency,Query Word,Option A,Option B,Option C,Option D
'Not occuring', 'aDikozaRam', 'aDikoza', 'vyApAraH', 'kusIdavfttiH', 'eSiyana'
'Not occuring', 'antarjAlasaNketaH', 'antarjAlaniketasaNketaH', 'EpI', 'saNketaH', 'puRyA'
'Frequently Occuring', 'apAyaH', 'bADA', 'apakAraH', 'dozaH', 'Suci'
'Frequently Occuring', 'arDa', 'vartulAkAra', 'arDa', 'golAkAra', 'parikleSaH'
'Frequently Occuring', 'AjYA', 'AdeSaH', 'nirdeSaH', 'nideSaH', 'avikalpa'
'Frequently Occuring', 'ADikyam', 'aDikatA', 'atiSayaH', 'atirekaH', 'avinABAvasambanDaH'
'Rarely Occuring', 'Avartanam', 'aByAvfttiH', 'AmnAyaH', 'AvfttiH', 'vESAKaH'
'Not occuring', 'kfzRanetrapawalam', 'kfzRapawalam', 'kfzRakAcaH', 'kfzRaliNganASaH', 'sevyaH'
'Frequently Occuring', 'kendrIya', 'BUmigata', 'jala', 'parizad', 'viroDI'
'Frequently Occuring', 'kzatiH', 'apacayaH', 'kzayaH', 'hAniH', 'kalApI'
'Rarely Occuring', 'KaRqamodakaH', 'KaRqaH', 'upalA', 'SuktopalA', 'mowA'
'Rarely Occuring', 'gopanam', 'guhanam', 'niguhanam', 'CAdanam', 'budDakAlInaH'
'Rarely Occuring', 'caYcala', 'apasyu', 'irya', 'izira', 'maDyamapARqavaH'
'Not occuring', 'DEryatA', 'pariDAraRA', 'sTErya', 'ganDanam', 'BUmiH'
'Not occuring', 'nimbabIjam', 'arizwabIjam', 'hiNguniryAsabIjam', 'sarvatoBadrabIjam', 'durgasaYcAraH'
'Rarely Occuring', 'niyantrakaH', 'taTA', 'mahAleKA', 'parIkzakaH', 'svasA'
'Not occuring', 'nizeDoktiH', 'virudDavacanam', 'nidarSanam', 'viroDaH', 'varzAMSaH'
'Not occuring', 'mudu', 'pelava', 'peSala', 'mudu', 'jaleSvaraH'
'Frequently Occuring', 'rakzA', 'anusanDAnam', 'taTA', 'vikAsa', 'saNGaH'
'Rarely Occuring', 'rAjatA', 'svADipatyam', 'svArAjyam', 'praButvam', 'sAhaMkAraH'
'Not occuring', 'laNgA', 'mANganayArO', 'laNgA', 'mANgaRiyArO', 'saMsTa'
'Rarely Occuring', 'vistIrRa', 'vistfta', 'mahAkAra', 'viSAla', 'nandanam'
'Not occuring', 'sPUrjanam', 'vidAraRam', 'visPowaH', 'sPowanam', 'acyutaH'
'Frequently Occuring', 'aja', 'ajanma', 'ananyaBava', 'anAgata', 'vAlhIkam'
'Rarely Occuring', 'satkarma', 'satkAryam', 'sukftyam', 'sADukarma', 'pratirUpam'
'Rarely Occuring', 'utpanna', 'utpAdana', 'jAta', 'udBUta', 'vilIna'
'Rarely Occuring', 'dOrjanyam', 'dOrAtmyam', 'duzwiH', 'dOzwyam', 'sattvam'
'Rarely Occuring', 'atyAcAraH', 'anAcAraH', 'anItiH', 'anyAyaH', 'avasaTya'
'Rarely Occuring', 'duzkarma', 'apakarma', 'pApakarma', 'kukarma', 'aNgavikzepaM'
'Frequently Occuring', 'ajYa', 'akzuRRa', 'aprajajYi', 'avyutpanna', 'setubanDaH'
'Not occuring', 'apravIRa', 'akuSala', 'anipuRa', 'apawu', 'goviw'
'Rarely Occuring', 'ayogya', 'agamya', 'anarha', 'ayukta', 'viBraMS'
'Not occuring', 'navaka', 'navacCAtra', 'kriyAkAra', 'nava', 'prakozWaH'
'Frequently Occuring', 'mUrKa', 'mUQa', 'ajYa', 'yaTAjAta', 'upaBuj'
'Rarely Occuring', 'nipuRa', 'pravIRa', 'aBijYa', 'vijYa', 'muKaSoDanam'
'Frequently Occuring', 'kzama', 'samarTa', 'Sakta', 'yogya', 'JaraH'
'Rarely Occuring', 'Sizwa', 'Badra', 'madra', 'AcAravat', 'surakzA'
'Frequently Occuring', 'anATa', 'nirnATa', 'CemaRqa', 'CamaRqa', 'vyagra'
'Not occuring', 'asahAya', 'niHsahAya', 'anupakfta', 'nirASrita', 'pAciH'
'Not occuring', 'apitfka', 'pitfhIna', 'gatapitfka', 'pitfvihIna', 'srotasvatI'
'Rarely Occuring', 'apamAnaH', 'BartsanA', 'nirBartsanA', 'avajYA', 'pariBfjjaya'
'Not occuring', 'aSizwatA', 'aBadratA', 'asaByatA', 'asADutA', 'svaBAvaja'
'Frequently Occuring', 'AdaraH', 'satkAraH', 'sammAnaH', 'mAnaH', 'aBiSaMsanam'
'Rarely Occuring', 'kAYcanAraH', 'kovidAraH', 'camarikaH', 'kuddAlaH', 'krozwuvinnA'
