('aKila', 'a)niKila', 'b)yamaH', 'c)indrajAlam', 'd)karkawaSfNgI')
('awwaH', 'a)udarkaH', 'b)akzaram', 'c)viSvaH', 'd)boDakaH')
('aDika', 'a)atirikta', 'b)vijYAnam', 'c)satkAraH', 'd)praT')
('aDikArIgaRaH', 'a)aDikArIvargaH', 'b)nakzatram', 'c)samAliK', 'd)pratigam')
('aDikArTa', 'a)atikfta', 'b)vicArakartA', 'c)BAzA', 'd)Kalatvam')
('aDikozaRam', 'a)aDikoza', 'b)jakzaRam', 'c)kowISvaraH', 'd)satvaratA')
('anilaculliH', 'a)analaculliH', 'b)vEBavam', 'c)nalikA', 'd)icCAhIna')
('anwArkawikA', 'a)mahAdvIpaH', 'b)aPala', 'c)uptakfzwam', 'd)BU')
('antarjAlasaNketaH', 'a)antarjAlaniketasaNketaH', 'b)kAleyam', 'c)hIrA', 'd)mUlam')
('apapracAraH', 'a)kupracAraH', 'b)pIqAkara', 'c)dvyAtmaka', 'd)devAlayaH')
('apapradAnam', 'a)laYcA', 'b)avaSuz', 'c)cAmaram', 'd)car')
('apararAtraH', 'a)amAntaH', 'b)vizajihvaH', 'c)puttalI', 'd)maRqalam')
('apaharaRam', 'a)apahAram', 'b)punarvAsa', 'c)apratikUlatA', 'd)vArava')
('apAyaH', 'a)bADA', 'b)SiKaRqI', 'c)vyupaSamaH', 'd)SAstrajYaH')
('aBiyAcanA', 'a)aByarTanA', 'b)parAraktA', 'c)Andolanam', 'd)usraH')
('aBisfzwa', 'a)Ahita', 'b)kusumagucCam', 'c)vAstuvid', 'd)pratijYApatram')
('arDa', 'a)vartulAkAra', 'b)ftuvfttiH', 'c)pitrya', 'd)nivApakaH')
('arDakuSala', 'a)arDanipuRa', 'b)BavizyavaktA', 'c)fkRavaham', 'd)pulomajA')
('arbudapatiH', 'a)arbudasvAmI', 'b)valkalaH', 'c)vivekahIna', 'd)nirASrayatA')
('alpamUlya', 'a)nyUnamUlya', 'b)BIzaRa', 'c)mftyulokaH', 'd)BaNgam')
('alpaSo', 'a)mUlyam', 'b)saNgaH', 'c)jala', 'd)sUdaH')
('avAropaRam', 'a)avAharaRam', 'b)apratizWA', 'c)netram', 'd)anusamAp')
('aviBAjya', 'a)aBinna', 'b)dyugaRaH', 'c)vizahA', 'd)aBiruc')
('AiPila', 'a)waॉvara', 'b)avagAhita', 'c)saPalatA', 'd)Dfz')
('AIsIAIsIAI', 'a)bENka', 'b)vyAGAtaka', 'c)SamI', 'd)mahimAvat')
('AkalERqanagaram', 'a)ऑkalERqanagaram', 'b)caRqAla', 'c)upaskaraH', 'd)raktajantukaH')
('AjYA', 'a)AdeSaH', 'b)jinv', 'c)valitam', 'd)nAgaramustA')
('AjYApAlanam', 'a)kartavyapAlanam', 'b)kuzmARqakaH', 'c)tArkzyaprasavaH', 'd)nizkAma')
('AtmatApatram', 'a)paricayapatram', 'b)muzwam', 'c)hrAdinI', 'd)ganDaH')
('AtmarakzA', 'a)svarakzA', 'b)varaH', 'c)dvijAtiH', 'd)kzaRarAmI')
('AtmalIna', 'a)Atmamagna;', 'b)sAmagrI', 'c)jaraRam', 'd)sudarSana')
('ADAraPalakam', 'a)muKyaPalakam', 'b)AtmajYaH', 'c)prasevakaH', 'd)yugyam')
('ADikyam', 'a)aDikatA', 'b)kftArTa', 'c)yogacUqa़AmaRi', 'd)zaqBujam')
('Anamita', 'a)AnAmita', 'b)aparicitaH', 'c)upakaTA', 'd)praButvam')
('AntarjAla', 'a)sevA', 'b)vimfS', 'c)prabuD', 'd)anantA')
('AntarjAla', 'a)sevA', 'b)ativelam', 'c)manuzyaDarmA', 'd)kusumavAna')
('Avartanam', 'a)aByAvfttiH', 'b)dayAsAgara', 'c)anuzWAnam', 'd)dayAmftyuH')
('AvegaH', 'a)vegaH', 'b)ruvuH', 'c)laNGanIya', 'd)udBidya')
('icCAmftyuH', 'a)dayAmftyuH', 'b)satyA', 'c)utsargaH', 'd)antaSayyA')
('inwarasarvisija', 'a)inwelajansam', 'b)samanvAraBaRam', 'c)acCa', 'd)mitAhArin')
('inqiyana', 'a)bENka', 'b)kAlAYjanI', 'c)pUtiroDaka', 'd)hAriH')
('ilinoisarAjyam', 'a)ilinAyarAjyam', 'b)pAratantryam', 'c)kandala', 'd)asamarTaH')
('utkawa', 'a)pAgala', 'b)apAkfta', 'c)viqgrahaH', 'd)ananyatvam')
('utkIrRa', 'a)pratimA', 'b)paripuz', 'c)aDarmaH', 'd)nidarSanam')
('uttama', 'a)atiSrezWa', 'b)SitadruH', 'c)vimohaya', 'd)pramARam')
('uttara', 'a)awalARwika', 'b)AkAraRam', 'c)svAdurasA', 'd)ADarzaH')
('utpAda', 'a)Sulkam', 'b)ambaram', 'c)durAtmA', 'd)SrezWatA')
('utsAhajanaka', 'a)utsAhavarDaka', 'b)mallajAtiH', 'c)saYcaraRam', 'd)hayAriH')
('udaravedanA', 'a)jaWaravyaTA', 'b)niScezwa', 'c)jaraRqa', 'd)pallavam')
