<Target Word,Meaning,OpA(correct),OpB,OpC,OpD>
उदरवेदना,abdominal pain,जठरव्यथा,शीर्षवेदना,हृदयवेदना,भेदन
उपत्यका,vale(valley),अधोभूमिः,स्फुट,पर्वत,शैलप्रस्थ
केन्द्रीय,central,आरक्षितपुलिसबलम्,आभ्यन्तर,जीवनावश्यक,अधिकतम
कोशिका,cellule,स्रावि,अणु,कामरूपिन्,जैविकीय
तन्त्र,technique,शैली,प्रक्रिया,इतिकर्तव्यता,पारम्पर्य
नगर,city,विकास,वसति,निरवत्ति,ग्राम  (Doubtful about this one) 
नारायणी, The river narayani/goddess of wealth,नारायणीनदी,शकुन्तला,देवी,अवन्ती
निम्बबीज,Ceylon Iron Wood,अरिष्टबीजम्,धूपियास,अनास,देवदारु
निरभ्र,cloudless,स्वच्छ,विमल,विशद,मेघङ्कष
निरोधन,restrain,प्रतिबन्धनम्,निरोधक,वशीकरण,शमन
निवासी, local resident,अधिवासी, प्रवासिन्,स्थानीय,स्थायिन्
प्रकार,type,रूपम्,आवर्तन,भाव,विधि
प्रबल,important,महत्,मुख्य,प्रधान,प्रथम
अधिक,surplus/more,अतिरिक्त,उदग्र,प्रकृष्ट,विभ्रम
अर्ध,half,वर्तुलाकार,अंश, वण्ट, विभाजन
अल्पमूल्य,of less value,न्यूनमूल्य,अश्लाघा,अमुक्तहस्त,वृत्तशालिन्
अपप्रदानम्,bribe, लञ्चा, दत्त, पारितोषिक, प्रलोभन
अनिलचुल्लिः, gas stove, अनलचुल्लिः ,दाहक, आपाक, रश्मिचुल्लि
अपायः,danger,बाधा, वैषम्य, विषाद, कषित
अविभाज्य, indivisible,अभिन्न,शाश्वत, कलिल, कूटस्थ
आत्मतापत्रम्, identity card,परिचयपत्रम् ,अनुज्ञापत्त्र, लेखप्रमाण, प्रमाणपत्त्र
आत्मरक्षा,self defense ,स्वरक्षा, कवच, निधानक, कारवेल्ल
आधिक्यम्,redundancy,अधिकता, उत्तानार्थ, आनुषङ्गिक, शिपित
आनमित, casued to bend, आनामित, विधेय, सोपचार, अधीन
आन्तर्जाल, internet, सेवा, परिसन्धि, साङ्गणिकावकाश, निविद्
आवेगः haste,वेगः, स्ंरम्भ, तस्परत्वरितम्,प्राशु
इच्छामृत्युः, euthansia, दयामृत्युः ,उद्बन्धन, प्रायोपवेशन, वध
उत्कट, derenaged, पागल, उन्मत्तचित्त, अवास्तव, संशयितव्य
उत्पाद, produce, शुल्कम्, परिणाम, व्ययसमानी,आविष्कार
प्रबलता,intensity,गाढता,तपस्,भार,बल
बन्धु,relative/relation,बान्धवः,गुरुजन,कुल,सखि
बहुजन,multitude of people,समाज,समूह,सभा,रङ्ग
महाशिवरात्रिः,festival of mahashivratri,शिवरात्रिः,होला,दीपवलि,पोङ्गल्
मुदु,soft,पेलव,मसृण,कौषेय,उष्ण
मुद्रक,printer, मुद्रणयन्त्रम्,सङ्गणक,यन्त्र,गणकयन्त्र
युतक,shirt,अन्तर्युतकम्,ऊरुक,कण्ठबन्ध,पादकोश
रक्षक,protector,त्राता,शूर,स्थानपाल,सैनिक
श्रद्धाहीन,faithless,श्रद्धारहित,नास्तिक,अब्रह्मण्य,संशयालु
सम्बोधित,addressed,आभाषित,लक्षित,आहूत,उपमन्त्रित
रजत,silver,स्वाधिपत्यम्,सुवर्ण,कांस्य,पित्तल
वरानना,lovely-faced woman,सुमुखः,द्युतिकर,काम्य,मधुर
वित्तकोष,bank,धनागारः,वार्द्धुषि,द्रविण,सेवा
विमान,airplane,परिचारिका,विचक्र,संवृतयान,लोकयान
वेतन,wages,आयोगः,टङ्क,द्रविण,निर्मा
शुष्क,dried,परिजीर्ण,उपहत,पुरातन,रुग्ण
