Frequency,Query Word,Option A,Option B,Option C,Option D
'Rarely Occuring', 'awwaH', 'udarkaH', 'vAraH', 'anuzWAnam', 'gonATaH'
' Frequently Occuring', 'aDika', 'atirikta', 'udagra', 'prakfzwa', 'viBrama'
'Not occuring', 'aDikArIgaRaH', 'aDikArIvargaH', 'suBo', 'nikawatA', 'upanizad'
'Not occuring', 'aDikArTa', 'atikfta', 'sAcIkaroti', 'mahayati', 'nirmimIte'
'Not occuring', 'aDikozaRam', 'aDikoza', 'DEryatA', 'raNgamAtfkA', 'SaktivEkalyam'
'Not occuring', 'anilaculliH', 'analaculliH', 'dAhaka', 'ApAka', 'raSmiculli'
'Not occuring', 'anwArkawikA', 'mahAdvIpaH', 'hastareKAvid', 'miSr', 'saMSlezaRam'
'Not occuring', 'antarjAlasaNketaH', 'antarjAlaniketasaNketaH', 'AdarSavAdI', 'arvatI', 'hamBAy'
'Not occuring', 'apapracAraH', 'kupracAraH', 'caritrA', 'somAMSuH', 'banDanam'
'Not occuring', 'apapradAnam', 'laYcA', 'datta', 'pAritozika', 'praloBana'
'Not occuring', 'apararAtraH', 'amAntaH', 'SaraRasTalI', 'pAlakaH', 'vizyanda'
'Rarely Occuring', 'apaharaRam', 'apahAram', 'nirDanatA', 'mahAtmA', 'Ahnika'
' Frequently Occuring', 'apAyaH', 'bADA', 'vEzamya', 'vizAda', 'kazita'
'Rarely Occuring', 'aBiyAcanA', 'aByarTanA', 'aDyAyaH', 'yena', 'viBramaH'
'Not occuring', 'aBisfzwa', 'Ahita', 'AtmAnaM', 'kAntaH', 'pitfBojanaH'
' Frequently Occuring', 'arDa', 'vartulAkAra', 'aMSa', 'vaRwa', 'viBAjana'
'Not occuring', 'arDakuSala', 'arDanipuRa', 'upasTitaH', 'sampratizWita', 'drutavilambitaH'
'Not occuring', 'arbudapatiH', 'arbudasvAmI', 'nAmapawwakaH', 'SiSira', 'kanizWaH'
'Not occuring', 'alpamUlya', 'nyUnamUlya', 'aSlAGA', 'amuktahasta', 'vfttaSAlin'
'Not occuring', 'alpaSo', 'mUlyam', 'durvftta', 'nirantarodBinna', 'visarpaya'
'Not occuring', 'avAropaRam', 'avAharaRam', 'gEreyam', 'tattvavAdI', 'tamAlakaH'
'Rarely Occuring', 'aviBAjya', 'aBinna', 'SASvata', 'kalila', 'kUwasTa'
'Not occuring', 'AiPila', 'waॉvara', 'avarohakaH', 'tApin', 'Sikzaya'
'Not occuring', 'AIsIAIsIAI', 'bENka', 'SavaH', 'kAmanApUrRatA', 'viBasmIkf'
' Frequently Occuring', 'AjYA', 'AdeSaH', 'haridravaH', 'mfgAlayaH', 'upavanam'
'Not occuring', 'AjYApAlanam', 'kartavyapAlanam', 'KajaH', 'gamyamAna', 'prakIra'
'Not occuring', 'AtmatApatram', 'paricayapatram', 'vya', 'kriyA', 'Cidrayukta'
'Rarely Occuring', 'AtmarakzA', 'svarakzA', 'SIrzakam', 'arj', 'vah'
'Not occuring', 'AtmalIna', 'Atmamagna;', 'puMScihnam', 'puroqASaH', 'racita'
'Not occuring', 'ADAraPalakam', 'muKyaPalakam', 'aDikoza', 'parIkzita', 'avarudDa'
